array size,nanoseconds,operations 
1394,13279286,1943236
1395,13386755,1946025
1396,13413215,1948816
1397,13348597,1951609
1398,13783919,1954404
1399,13305719,1957201
1400,13422833,1960000
1401,13402346,1962801
1402,13394403,1965604
1403,13516168,1968409
1404,13444444,1971216
1405,13506188,1974025
1406,13545707,1976836
1407,13609187,1979649
1408,13687415,1982464
1409,13661044,1985281
1410,13652722,1988100
1411,13677099,1990921
1412,13634418,1993744
1413,13737215,1996569
1414,13643291,1999396
1415,13686487,2002225
1416,13695900,2005056
1417,16544999,2007889
1418,13910315,2010724
1419,13829078,2013561
1420,13796444,2016400
1421,13879406,2019241
1422,13904362,2022084
1423,13865002,2024929
1424,13872594,2027776
1425,14030175,2030625
1426,13966274,2033476
1427,13955984,2036329
1428,13878608,2039184
1429,13953996,2042041
1430,14096449,2044900
1431,14094766,2047761
1432,14081250,2050624
1433,14018485,2053489
1434,14495559,2056356
1435,14164019,2059225
1436,14099571,2062096
1437,14134629,2064969
1438,14005427,2067844
1439,14060037,2070721
1440,14103363,2073600
1441,14259864,2076481
1442,14204828,2079364
1443,14302620,2082249
1444,14324621,2085136
1445,14426065,2088025
1446,14387539,2090916
1447,14363154,2093809
1448,14385147,2096704
1449,14509079,2099601
1450,14591340,2102500
1451,14386333,2105401
1452,16393915,2108304
1453,14446258,2111209
1454,14416434,2114116
1455,14518086,2117025
1456,14572422,2119936
1457,14536263,2122849
1458,14554540,2125764
1459,14681407,2128681
1460,14778729,2131600
1461,14670667,2134521
1462,14637192,2137444
1463,14694259,2140369
1464,14778786,2143296
1465,14767269,2146225
1466,14757206,2149156
1467,14760818,2152089
1468,15089751,2155024
1469,14853082,2157961
1470,14858199,2160900
1471,14831131,2163841
1472,14890235,2166784
1473,14897267,2169729
1474,14801028,2172676
1475,14865437,2175625
1476,14978998,2178576
1477,14956217,2181529
1478,15087969,2184484
1479,14982915,2187441
