minDistance,,,minDistance2,,
array size,nanoseconds,operations1,array size,nanoseconds,operations2
573,2245635,328329,573,1140641,163878
574,2107497,329476,574,1159941,164451
575,2255974,330625,575,1179184,165025
576,2226130,331776,576,1240269,165600
577,2391336,332929,577,1312210,166176
578,2470369,334084,578,1329300,166753
579,2458939,335241,579,1319401,167331
580,2301321,336400,580,1229187,167910
581,2376327,337561,581,1311575,168490
582,2485115,338724,582,1338161,169071
583,2503358,339889,583,1367887,169653
584,2499063,341056,584,1282983,170236
585,2364719,342225,585,1302535,170820
586,2467216,343396,586,1273906,171405
587,2356655,344569,587,1191393,171991
588,2372346,345744,588,1327463,172578
589,2504117,346921,589,1370371,173166
590,2604927,348100,590,1397185,173755
591,2622747,349281,591,1377034,174345
592,2456317,350464,592,1249816,174936
593,2399572,351649,593,1350812,175528
594,2594527,352836,594,1425553,176121
595,2643841,354025,595,1419195,176715
596,2651515,355216,596,1418104,177310
597,2487198,356409,597,1323982,177906
598,2524783,357604,598,1481452,178503
599,2621037,358801,599,1549279,179101
600,2711996,360000,600,1446282,179700
601,2639750,361201,601,1359725,180300
602,2417176,362404,602,1487494,180901
603,2683387,363609,603,1520749,181503
604,2469100,364816,604,1301096,182106
605,2035284,366025,605,969773,182710
606,1357605,367236,606,1188231,183315
607,2612420,368449,607,1359847,183921
608,2589494,369664,608,1373273,184528
609,1842798,370881,609,2110508,185136
610,2526721,372100,610,1319255,185745
611,2520623,373321,611,1303445,186355
612,2469379,374544,612,1338627,186966
613,2544821,375769,613,1325827,187578
614,2539218,376996,614,1311954,188191
615,2535479,378225,615,1356777,188805
616,2599096,379456,616,1332524,189420
617,2627620,380689,617,1404676,190036
618,2703430,381924,618,1454387,190653
619,2692740,383161,619,1342296,191271
620,2617499,384400,620,1341499,191890
621,2616937,385641,621,1344627,192510
622,2636258,386884,622,1423167,193131
623,2795797,388129,623,1441060,193753
624,2692950,389376,624,1365190,194376
625,2697419,390625,625,1422795,195000
626,2646334,391876,626,1467549,195625
627,2769954,393129,627,1356256,196251
628,2720667,394384,628,1374244,196878
629,2690538,395641,629,1396650,197506
630,2705484,396900,630,1377373,198135
631,2835840,398161,631,1646037,198765
632,2954232,399424,632,1655815,199396
633,2943542,400689,633,11512146,200028
634,2683246,401956,634,1441833,200661
635,2832657,403225,635,1473293,201295
636,2495839,404496,636,1634130,201930
637,2880509,405769,637,1521020,202566
638,2916197,407044,638,1536665,203203
639,2921739,408321,639,1548046,203841
640,2938188,409600,640,1532118,204480
641,2913231,410881,641,1557717,205120
642,2987708,412164,642,1558819,205761
643,2979419,413449,643,1556655,206403
644,2983755,414736,644,1577486,207046
645,2928229,416025,645,1599109,207690
646,3009592,417316,646,1554844,208335
647,2863807,418609,647,1504526,208981
648,2909155,419904,648,1549021,209628
649,2948721,421201,649,1509369,210276
650,2976655,422500,650,1553261,210925
651,2986924,423801,651,1530730,211575
652,3048867,425104,652,1556171,212226
653,3049705,426409,653,1652456,212878
654,2913870,427716,654,1618902,213531
655,2924557,429025,655,1646158,214185
656,2895764,430336,656,1629662,214840
657,2919477,431649,657,1615348,215496
658,2751144,432964,658,1492190,216153
659,2931779,434281,659,1507964,216811
660,12912388,435600,660,1627218,217470
661,2864712,436921,661,1683029,218130
662,24187347,438244,662,1558410,218791
663,3129562,439569,663,1581222,219453
664,3074529,440896,664,1635439,220116
665,3141414,442225,665,1569386,220780
666,3150772,443556,666,1567220,221445
667,3154103,444889,667,1599493,222111
668,3203121,446224,668,1645026,222778
669,3244960,447561,669,1587294,223446
670,3175232,448900,670,1580367,224115
671,3194145,450241,671,1592973,224785
672,3149901,451584,672,1603971,225456
673,3161667,452929,673,1437194,226128
674,2524332,454276,674,952649,226801
675,1748977,455625,675,947741,227475
676,1723505,456976,676,939696,228150
677,1707582,458329,677,960316,228826
678,1706633,459684,678,974441,229503
679,1761080,461041,679,946888,230181
680,1735645,462400,680,953685,230860
681,1739828,463761,681,959147,231540
682,1852962,465124,682,1641175,232221
683,12515161,466489,683,1671284,232903
684,3297077,467856,684,5301280,233586
685,3336053,469225,685,1662275,234270
686,3232146,470596,686,1759989,234955
687,3148990,471969,687,1609156,235641
688,3388829,473344,688,1860653,236328
689,3251429,474721,689,1646824,237016
690,3217491,476100,690,1682049,237705
691,3189305,477481,691,1653502,238395
692,3261341,478864,692,1693100,239086
693,3325967,480249,693,1766493,239778
694,3385443,481636,694,1798857,240471
695,3418768,483025,695,1773941,241165
696,3125144,484416,696,1686367,241860
697,3333244,485809,697,1659167,242556
698,3407331,487204,698,1786401,243253
699,3417751,488601,699,1723843,243951
700,3327918,490000,700,1728545,244650
701,3370443,491401,701,1798012,245350
702,3428023,492804,702,1750917,246051
703,3380988,494209,703,1717782,246753
704,3393365,495616,704,1716832,247456
705,3460397,497025,705,1811335,248160
706,3553329,498436,706,1792871,248865
707,3385918,499849,707,1727437,249571
708,3500454,501264,708,11742096,250278
709,3306129,502681,709,1732500,250986
710,3430220,504100,710,1744930,251695
711,3431684,505521,711,1754928,252405
712,3527836,506944,712,1756058,253116
713,3454280,508369,713,1777109,253828
714,3481189,509796,714,1781220,254541
715,3470509,511225,715,1794367,255255
716,3495777,512656,716,1797790,255970
717,3483686,514089,717,1833853,256686
718,3457535,515524,718,1784038,257403
719,3334350,516961,719,1679546,258121
720,3371122,518400,720,1706401,258840
721,3450516,519841,721,1661949,259560
722,3435856,521284,722,1868171,260281
723,3737761,522729,723,1869354,261003
724,3769427,524176,724,1871847,261726
725,3653660,525625,725,1839917,262450
726,3722684,527076,726,1260303,263175
727,2413281,528529,727,1739543,263901
728,3427808,529984,728,1715727,264628
729,3405281,531441,729,1754212,265356
730,3477389,532900,730,1734307,266085
731,3445847,534361,731,1733075,266815
732,2860358,535824,732,1089971,267546
733,1983572,537289,733,1097415,268278
734,2008961,538756,734,1102059,269011
735,2014395,540225,735,1100008,269745
736,2019942,541696,736,1106042,270480
737,2001238,543169,737,1122074,271216
738,2005086,544644,738,1132426,271953
739,2014273,546121,739,1119027,272691
740,2012784,547600,740,1149591,273430
741,2022279,549081,741,1146063,274170
742,2026948,550564,742,1144950,274911
743,2035992,552049,743,1140702,275653
744,2035201,553536,744,1131555,276396
745,2060121,555025,745,1136334,277140
746,2052596,556516,746,1135666,277885
747,2076963,558009,747,1140000,278631
748,2073742,559504,748,1142932,279378
749,2080809,561001,749,1144954,280126
750,2081663,562500,750,1146084,280875
751,2104888,564001,751,1150156,281625
752,2093339,565504,752,1155334,282376
753,2102278,567009,753,1158390,283128
754,2109014,568516,754,1158997,283881
755,2112602,570025,755,1165626,284635
756,2116175,571536,756,1167144,285390
757,2123101,573049,757,1169992,286146
758,2130408,574564,758,1171739,286903
759,2135242,576081,759,1190028,287661
760,2138190,577600,760,1180144,288420
761,2169560,579121,761,1189678,289180
762,3237555,580644,762,2100931,289941
763,4140305,582169,763,2136645,290703
764,2888747,583696,764,1572020,291466
765,2246928,585225,765,1222412,292230
766,2458419,586756,766,1337690,292995
767,2228882,588289,767,1203434,293761
768,2200939,589824,768,1208286,294528
769,2209597,591361,769,1480665,295296
770,2734506,592900,770,1266117,296065
771,3315333,594441,771,1995476,296835
772,3460586,595984,772,2014278,297606
773,3764880,597529,773,2087442,298378
774,3670857,599076,774,1310536,299151
775,2229461,600625,775,1202291,299925
776,2094114,602176,776,1135935,300700
777,2126034,603729,777,1166827,301476
778,2058565,605284,778,1138387,302253
779,2062900,606841,779,1143917,303031
780,2066093,608400,780,1147605,303810
781,2101380,609961,781,1149697,304590
782,2077712,611524,782,1150502,305371
783,2121148,613089,783,1467594,306153
784,3964497,614656,784,1630651,306936
785,2179375,616225,785,1925644,307720
786,2104208,617796,786,1161171,308505
787,2106418,619369,787,1167396,309291
788,2179140,620944,788,1170865,310078
789,2117775,622521,789,1174124,310866
790,2119317,624100,790,1176163,311655
791,2124272,625681,791,1177425,312445
792,2152004,627264,792,1181626,313236
793,2136232,628849,793,1185730,314028
794,2181988,630436,794,1224811,314821
795,2145773,632025,795,1188506,315615
796,2152762,633616,796,1193684,316410
797,2158701,635209,797,1197538,317206
798,2162878,636804,798,1224405,318003
799,2289907,638401,799,1215603,318801
800,2211178,640000,800,1260349,319600
801,2327084,641601,801,1208995,320400
802,2185055,643204,802,1212519,321201
803,2332710,644809,803,1216119,322003
804,2198462,646416,804,1217580,322806
805,2267904,648025,805,1222576,323610
806,2244106,649636,806,1227408,324415
807,2209883,651249,807,1229693,325221
808,2251091,652864,808,1232325,326028
809,2219733,654481,809,1286677,326836
810,2228189,656100,810,1237777,327645
811,2232773,657721,811,1253093,328455
812,2264240,659344,812,1242874,329266
813,2271116,660969,813,1244903,330078
814,2251300,662596,814,1246267,330891
815,2256614,664225,815,1250882,331705
816,2260232,665856,816,1254826,332520
817,2304133,667489,817,1320071,333336
818,2274672,669124,818,1260402,334153
819,2276131,670761,819,1261777,334971
820,2282710,672400,820,1267039,335790
821,2288227,674041,821,1289102,336610
822,2292533,675684,822,1276596,337431
823,2359618,677329,823,1277807,338253
824,2303117,678976,824,1280237,339076
825,2310131,680625,825,1282114,339900
826,2318815,682276,826,1285702,340725
827,2345312,683929,827,1289445,341551
828,2327821,685584,828,1353021,342378
829,2349525,687241,829,1294367,343206
